scenario_id,scenario,section,purpose,order,id,legacy_ids,pos,gender,pt,en,zh_hans,zh_hant,example_pt,example_en,example_zh_hans,example_zh_hant,note
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0967,situacao-o-aquecimento,noun,m,o aquecimento,heating,暖气,暖氣,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0968,situacao-o-esquentador,noun,m,o esquentador,gas water heater,燃气热水器,燃氣熱水器,,,,,Very common in PT flats; learn this word
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0969,situacao-a-caldeira,noun,f,a caldeira,boiler,锅炉,鍋爐,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-0972,situacao-avariado-a,,,avariado/a,broken / out of order,坏了／故障,壞了／故障,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1011,situacao-reportar-uma-avaria,,,reportar uma avaria,to report a fault,報修,報修,,,,,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1267,situacao-o-contrato-de-fornecimento,noun,m,o contrato de fornecimento,utility supply contract,公用事业供应合同,公用事業供應合約,O contrato de fornecimento fica em nome da inquilina.,The utility contract is in the tenant's name.,公用事业合同登记在房客名下。,公用事業合約登記在房客名下。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1268,situacao-o-contador,noun,m,o contador,meter,计量表,計量錶,O contador da eletricidade fica no corredor.,The electricity meter is in the corridor.,电表在走廊里。,電錶在走廊裡。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1269,situacao-a-leitura-do-contador,noun,f,a leitura do contador,meter reading,抄表数值,抄錶數值,Enviei a leitura do contador pela aplicação.,I sent the meter reading through the app.,我通过应用程序提交了抄表数值。,我透過應用程式提交了抄錶數值。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1270,situacao-a-potencia-contratada,noun,f,a potência contratada,contracted power level,合同电力容量,合約電力容量,Esta potência contratada não chega para a casa toda.,This contracted power level is not enough for the whole home.,这个合同电力容量不够全屋使用。,這個合約電力容量不夠全屋使用。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1271,situacao-a-tarifa-bi-horaria,noun,f,a tarifa bi-horária,time-of-use tariff,分时电价,分時電價,A tarifa bi-horária fica mais barata durante a noite.,The time-of-use tariff is cheaper at night.,分时电价在夜间更便宜。,分時電價在夜間更便宜。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1272,situacao-a-falha-de-eletricidade,noun,f,a falha de eletricidade,power cut,停电,停電,Houve uma falha de eletricidade no prédio.,There was a power cut in the building.,这栋楼停电了。,這棟樓停電了。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1273,situacao-a-fuga-de-gas,noun,f,a fuga de gás,gas leak,燃气泄漏,燃氣洩漏,"Se sentir cheiro, feche o gás e comunique a fuga.","If you smell gas, turn it off and report the leak.",闻到气味时要关闭燃气并报告泄漏。,聞到氣味時要關閉燃氣並報告洩漏。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1274,situacao-mudar-o-titular,verb,,mudar o titular,to change the account holder,更改户名,更改戶名,Quero mudar o titular do contrato.,I want to change the account holder on the contract.,我想更改合同户名。,我想更改合約戶名。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1275,situacao-comunicar-a-leitura,,,comunicar a leitura,to submit a meter reading,提交抄表数值,提交抄錶數值,Pode comunicar a leitura por telefone.,You can submit the reading by phone.,您可以通过电话提交抄表数值。,您可以透過電話提交抄錶數值。,
agua_luz_gas,"Água, Luz e Gás",vocabulario,,,az-1276,situacao-a-data-limite-de-pagamento,noun,f,a data limite de pagamento,payment deadline,付款截止日期,付款截止日期,A data limite de pagamento é dia vinte.,The payment deadline is the twentieth.,付款截止日期是二十日。,付款截止日期是二十日。,
agua_luz_gas,"Água, Luz e Gás",dialogo,,435,dialogo-agua_luz_gas-boa-tarde-quero-por-o-contrato-da-eletricidade-em-meu-nome,,,,Boa tarde. Quero pôr o contrato da eletricidade em meu nome.,Good afternoon. I want to put the electricity contract in my name.,下午好。我想把电力合同改成我的名字。,午安。我想把電力合約改成我的名字。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,436,dialogo-agua_luz_gas-tem-o-contrato-de-arrendamento-e-uma-leitura-do-contador,,,,Tem o contrato de arrendamento e uma leitura do contador?,Do you have the tenancy agreement and a meter reading?,您有租赁合同和抄表数值吗？,您有租賃合約和抄錶數值嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,437,dialogo-agua_luz_gas-tenho-tambem-queria-aderir-ao-debito-direto,,,,Tenho. Também queria aderir ao débito direto.,I do. I'd also like to set up direct debit.,有。我还想开通自动扣款。,有。我還想設定直接付款。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,438,dialogo-agua_luz_gas-preciso-do-seu-iban-e-documento-de-identificacao,,,,Preciso do seu IBAN e documento de identificação.,I need your IBAN and identity document.,我需要您的IBAN和身份证件。,我需要您的IBAN和身份證明文件。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,439,dialogo-agua_luz_gas-qual-e-a-potencia-contratada-mais-indicada,,,,Qual é a potência contratada mais indicada?,Which contracted power level is most suitable?,哪种合同电力容量最合适？,哪種合約電力容量最合適？,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,440,dialogo-agua_luz_gas-para-duas-pessoas-3-45-kva-costuma-ser-suficiente,,,,"Para duas pessoas, 3,45 kVA costuma ser suficiente.","For two people, 3.45 kVA is usually enough.",两个人通常3.45千伏安就够了。,兩個人通常3.45千伏安就夠了。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,441,dialogo-agua_luz_gas-quando-comeca-o-fornecimento,,,,Quando começa o fornecimento?,When does the supply start?,什么时候开始供电？,甚麼時候開始供電？,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,,442,dialogo-agua_luz_gas-se-nao-houver-problemas-fica-ativo-amanha,,,,"Se não houver problemas, o contrato fica ativo amanhã.","If there are no issues, the contract will be active tomorrow.",如果没有问题，合同明天就会生效。,如果沒有問題，合約明天就會生效。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,663,dialogo-agua_luz_gas-a-fatura-deste-mes-e-muito-mais-alta-do-que-o-habitual,,,,A fatura deste mês é muito mais alta do que o habitual.,This month's bill is much higher than usual.,这个月的账单比平时高很多。,這個月的賬單比平時高很多。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,664,dialogo-agua_luz_gas-pode-confirmar-se-a-leitura-e-real-ou-estimada,,,,Pode confirmar se a leitura é real ou estimada?,Can you check whether the reading is actual or estimated?,您能确认这是实际读数还是估算读数吗？,您能確認這是實際讀數還是估算讀數嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,665,dialogo-agua_luz_gas-diz-que-e-estimada-posso-comunicar-a-leitura-agora,,,,Diz que é estimada. Posso comunicar a leitura agora?,It says it is estimated. Can I submit the reading now?,上面写的是估算。我现在可以提交读数吗？,上面寫的是估算。我現在可以提交讀數嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,666,dialogo-agua_luz_gas-sim-diga-os-numeros-que-aparecem-no-contador,,,,Sim. Diga os números que aparecem no contador.,Yes. Tell me the numbers shown on the meter.,可以。请告诉我计量表上显示的数字。,可以。請告訴我錶上顯示的數字。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,667,dialogo-agua_luz_gas-tambem-ficamos-sem-eletricidade-so-neste-apartamento,,,,Também ficámos sem eletricidade só neste apartamento.,We have also lost power only in this flat.,另外，只有我们这套公寓停电了。,另外，只有我們這個單位停電了。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,668,dialogo-agua_luz_gas-verifique-primeiro-o-disjuntor-e-se-ha-avisos-de-avaria-na-zona,,,,Verifique primeiro o disjuntor e se há avisos de avaria na zona.,First check the circuit breaker and whether there are outage notices for the area.,请先检查断路器，并查看该地区是否有故障通知。,請先檢查斷路器，並查看該區是否有故障通知。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,669,dialogo-agua_luz_gas-o-disjuntor-volta-a-desligar-quando-ligo-o-esquentador,,,,O disjuntor volta a desligar quando ligo o esquentador.,The breaker trips again when I switch on the water heater.,一开热水器，断路器就再次跳闸。,一開熱水爐，斷路器就再次跳掣。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,670,dialogo-agua_luz_gas-desligue-o-aparelho-e-chame-um-tecnico-qualificado,,,,Desligue o aparelho e chame um técnico qualificado.,Switch off the appliance and call a qualified technician.,请关闭设备并联系合资格技术人员。,請關掉設備並聯絡合資格技術人員。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,671,dialogo-agua_luz_gas-senti-cheiro-a-gas-no-patamar-do-predio,,,,Senti cheiro a gás no patamar do prédio.,I smelled gas on the building landing.,我在楼层走廊闻到燃气味。,我在樓層走廊聞到煤氣味。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,672,dialogo-agua_luz_gas-nao-acenda-luzes-ventile-se-for-seguro-e-ligue-para-a-emergencia-do-gas,,,,"Não acenda luzes, ventile se for seguro e ligue para a emergência do gás.",Do not switch on lights; ventilate if safe and call the gas emergency line.,不要开灯；在安全情况下通风，并拨打燃气紧急电话。,不要開燈；在安全情況下通風，並致電煤氣緊急熱線。,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,673,dialogo-agua_luz_gas-tenho-de-sair-do-predio,,,,Tenho de sair do prédio?,Do I need to leave the building?,我需要离开大楼吗？,我需要離開大廈嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",dialogo,expanded real-world coverage,674,dialogo-agua_luz_gas-siga-as-instrucoes-da-linha-de-emergencia-e-avise-os-vizinhos-sem-usar-campainhas,,,,Siga as instruções da linha de emergência e avise os vizinhos sem usar campainhas.,Follow the emergency line's instructions and warn neighbours without using doorbells.,请遵循紧急热线指示，并不要使用门铃，通知邻居。,請遵從緊急熱線指示，並不要使用門鐘，通知鄰居。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,,287,cartao-agua_luz_gas-quero-mudar-o-titular-do-contrato,,,,Quero mudar o titular do contrato.,I want to change the account holder.,我想更改合同户名。,我想更改合約戶名。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,,288,cartao-agua_luz_gas-quero-comunicar-a-leitura-do-contador,,,,Quero comunicar a leitura do contador.,I want to submit a meter reading.,我想提交抄表数值。,我想提交抄錶數值。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,,289,cartao-agua_luz_gas-a-fatura-parece-estar-errada,,,,A fatura parece estar errada.,The bill seems to be wrong.,账单似乎有误。,賬單似乎有誤。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,,290,cartao-agua_luz_gas-estamos-sem-eletricidade,,,,Estamos sem eletricidade.,We have no electricity.,我们停电了。,我們停電了。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,,291,cartao-agua_luz_gas-sinto-cheiro-a-gas,,,,Sinto cheiro a gás.,I can smell gas.,我闻到燃气味。,我聞到燃氣味。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,606,cartao-agua_luz_gas-pode-dar-me-informacoes-sobre-o-titular-da-conta,,,,Quero alterar o titular da conta.,I want to change the account holder.,我想更改账户持有人。,我想更改帳戶持有人。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,607,cartao-agua_luz_gas-onde-posso-encontrar-informacoes-sobre-o-iban,,,,Onde posso atualizar o IBAN?,Where can I update the IBAN?,我可以在哪里更新 IBAN？,我可以在哪裡更新 IBAN？,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,608,cartao-agua_luz_gas-pode-dar-me-informacoes-sobre-o-esquentador,,,,O esquentador não acende.,The water heater will not light.,热水器点不着。,熱水爐點不著。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,609,cartao-agua_luz_gas-preciso-de-esclarecer-uma-duvida-sobre-o-debito-direto,,,,Preciso de esclarecer uma dúvida sobre o débito direto.,I have a question about direct debit.,我需要咨询有关自动扣款的问题。,我需要查詢有關自動扣款的問題。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,610,cartao-agua_luz_gas-com-quem-devo-falar-sobre-as-guias-de-pagamento,,,,Onde posso obter as guias de pagamento?,Where can I get the payment slips?,我可以在哪里取得缴费单？,我可以在哪裡取得繳費單？,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,611,cartao-agua_luz_gas-queria-informacoes-sobre-a-transferencia-bancaria,,,,Posso pagar por transferência bancária?,Can I pay by bank transfer?,可以银行转账付款吗？,可以銀行轉帳付款嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,612,cartao-agua_luz_gas-preciso-de-esclarecer-uma-duvida-sobre-a-caldeira,,,,Gostaria de saber mais sobre a caldeira.,I would like to know more about boiler.,我想进一步了解锅炉。,我想進一步了解鍋爐。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,613,cartao-agua_luz_gas-com-quem-devo-falar-sobre-a-comissao,,,,Esta forma de pagamento tem comissão?,Is there a fee for this payment method?,这种付款方式收手续费吗？,這種付款方式收手續費嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,614,cartao-agua_luz_gas-queria-informacoes-sobre-o-comprovativo,,,,Preciso de um comprovativo de pagamento.,I need proof of payment.,我需要付款凭证。,我需要付款證明。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,615,cartao-agua_luz_gas-pode-dar-me-uma-fatura,,,,Pode dar-me uma fatura?,Can you give me an invoice?,可以给我一张发票吗？,可以給我一張發票嗎？,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,616,cartao-agua_luz_gas-queria-informacoes-sobre-o-aquecimento,,,,O aquecimento não está a funcionar.,The heating is not working.,暖气坏了。,暖氣壞了。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,617,cartao-agua_luz_gas-queria-pagar-em-prestacoes-por-favor,,,,"Queria pagar em prestações, por favor.","I would like to pay in instalments, please.",我想分期缴納。,我想分期繳納。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,618,cartao-agua_luz_gas-queria-reportar-uma-avaria-por-favor,,,,"Queria reportar uma avaria, por favor.","I would like to report a fault, please.",我想報修。,我想報修。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,619,cartao-agua_luz_gas-pode-comunicar-a-leitura-por-telefone,,,,Pode comunicar a leitura por telefone.,You can submit the reading by phone.,您可以通过电话提交抄表数值。,您可以透過電話提交抄錶數值。,,,,,
agua_luz_gas,"Água, Luz e Gás",cartao,useful situation example,620,cartao-agua_luz_gas-queria-pagar-uma-taxa-por-favor,,,,"Queria pagar uma taxa, por favor.","I would like to pay a fee, please.",我想缴納费用。,我想繳納費用。,,,,,
aima,AIMA,vocabulario,,,az-0658,situacao-a-aima,noun,,AIMA,"Agency for Integration, Migration and Asylum",移民与庇护融合署,移民與庇護融合署,,,,,
aima,AIMA,vocabulario,,,az-0659,situacao-a-autorizacao-de-residencia-ar,noun,f,a autorização de residência (AR),residence permit,居留許可,居留許可,,,,,
aima,AIMA,vocabulario,,,az-0660,situacao-o-titulo-de-residencia,noun,m,o título de residência,residence card (the physical document),居留证（实体证件）,居留證（實體證件）,,,,,
aima,AIMA,vocabulario,,,az-0661,situacao-a-renovacao,noun,f,a renovação,renewal,续期,續期,,,,,"Apply from 90 days, up to 30 days before expiry"
aima,AIMA,vocabulario,,,az-0662,situacao-o-portal-das-renovacoes,noun,m,o Portal das Renovações,the online Renewals Portal,线上续期平台,線上續期平台,,,,,portal-renovacoes.aima.gov.pt; opened month by month
aima,AIMA,vocabulario,,,az-0663,situacao-a-marcacao-o-agendamento,noun,f,a marcação / o agendamento,appointment / booking,预约,預約,,,,,
aima,AIMA,vocabulario,,,az-0664,situacao-a-recolha-de-dados-biometricos,noun,f,a recolha de dados biométricos,biometric data collection,採集生物识別资料（按指紋等）,採集生物識別資料（按指紋等）,,,,,
aima,AIMA,vocabulario,,,az-0665,situacao-o-comprovativo-de-meios-de-subsistencia,noun,m,o comprovativo de meios de subsistência,proof of means of subsistence,生活來源证明,生活來源證明,,,,,"Work contract, payslips or bank statement"
aima,AIMA,vocabulario,,,az-0240,situacao-o-registo-criminal,noun,m,o registo criminal,criminal record (check),无犯罪记录,無犯罪記錄,,,,,Consent for lookup usually given at the counter
aima,AIMA,vocabulario,,,az-0566,,noun,m,o reagrupamento familiar,family reunification,家庭团聚,家庭團聚,,,,,
aima,AIMA,vocabulario,,,az-0667,situacao-o-processo-pendente,noun,m,o processo pendente,pending case/process,待处理的申请,待處理的申請,,,,,
aima,AIMA,vocabulario,,,az-0668,situacao-caducado-a,,,caducado/a,expired,已过期,已過期,,,,,AR expired <6 months can still renew
aima,AIMA,vocabulario,,,az-0669,situacao-as-taxas,noun,f-pl,as taxas,fees,费用,費用,,,,,
aima,AIMA,vocabulario,,,az-0886,situacao-o-pedido-de-nacionalidade,noun,m,o pedido de nacionalidade,citizenship application,入籍申请,入籍申請,,,,,
aima,AIMA,vocabulario,,,az-0887,situacao-a-apostila-de-haia,noun,f,a apostila (de Haia),(Hague) apostille,海牙认证,海牙認證,,,,,Foreign documents must be apostilled
aima,AIMA,vocabulario,,,az-0888,situacao-a-traducao-certificada,noun,f,a tradução certificada,certified translation,认证翻译,認證翻譯,,,,,
aima,AIMA,vocabulario,,,az-0889,situacao-a-certidao-de-nascimento,noun,f,a certidão de nascimento,birth certificate,出生证明,出生證明,,,,,
aima,AIMA,vocabulario,,,az-0890,situacao-o-registo-criminal-do-pais-de-origem,noun,m,o registo criminal do país de origem,criminal record from home country,原籍國无犯罪记录,原籍國無犯罪記錄,,,,,
aima,AIMA,vocabulario,,,az-0891,situacao-o-visto-de-trabalho-de-estudo,noun,m,o visto de trabalho / de estudo,work / study visa,工作签证／学生签证,工作簽證／學生簽證,,,,,
aima,AIMA,vocabulario,,,az-0892,situacao-a-prorrogacao-de-permanencia,noun,f,a prorrogação de permanência,extension of stay,延期居留,延期居留,,,,,
aima,AIMA,vocabulario,,,az-0893,situacao-o-comprovativo-de-agendamento,noun,m,o comprovativo de agendamento,proof of appointment,预约憑证,預約憑證,,,,,
aima,AIMA,vocabulario,,,az-0894,situacao-o-numero-de-processo,noun,m,o número de processo,case number,案件編号,案件編號,,,,,
aima,AIMA,vocabulario,,,az-0895,situacao-o-estado-do-processo,noun,m,o estado do processo,case status,案件状态,案件狀態,,,,,
aima,AIMA,vocabulario,,,az-0896,situacao-a-notificacao,noun,f,a notificação,official notification,官方通知,官方通知,,,,,
aima,AIMA,vocabulario,,,az-0529,,noun,m,o prazo,deadline,期限,期限,,,,,
aima,AIMA,vocabulario,,,az-0897,situacao-em-analise,,,em análise,under review,审核中,審核中,,,,,
aima,AIMA,vocabulario,,,az-0898,situacao-deferido-indeferido,,,deferido / indeferido,approved / rejected,获批／被拒,獲批／被拒,,,,,
aima,AIMA,vocabulario,,,az-0899,situacao-o-vinculo-laboral,noun,m,o vínculo laboral,employment relationship,劳动关係（在职证明）,勞動關係（在職證明）,,,,,
aima,AIMA,vocabulario,,,az-0900,situacao-o-seguro-de-viagem-de-saude,noun,m,o seguro de viagem / de saúde,travel / health insurance,旅行保险／医疗保险,旅行保險／醫療保險,,,,,
aima,AIMA,vocabulario,,,az-0901,situacao-a-declaracao-da-entidade-patronal,noun,f,a declaração da entidade patronal,employer's declaration,雇主声明,僱主聲明,,,,,
aima,AIMA,vocabulario,,,az-0902,situacao-o-agregado-familiar,noun,m,o agregado familiar,household / family unit,家庭成员,家庭成員,,,,,
aima,AIMA,vocabulario,,,az-0903,situacao-a-residencia-legal,noun,f,a residência legal,legal residence,合法居留,合法居留,,,,,
aima,AIMA,vocabulario,,,az-0904,situacao-o-atendimento-presencial,noun,m,o atendimento presencial,in-person service,现场办理,現場辦理,,,,,
aima,AIMA,dialogo,,39,dialogo-aima-bom-dia-tenho-uma-marcacao-para-renovar-a-autorizacao-,,,,"Bom dia, tenho uma marcação para renovar a autorização de residência.","Good morning, I have an appointment to renew my residence permit.",早上好，我有续居留許可的预约。,早上好，我有續居留許可的預約。,,,,,
aima,AIMA,dialogo,,40,dialogo-aima-pode-mostrar-o-titulo-de-residencia-e-o-passaporte,,,,Pode mostrar o título de residência e o passaporte?,Can you show me your residence card and passport?,可以出示您的居留证和护照吗？,可以出示您的居留證和護照嗎？,,,,,
aima,AIMA,dialogo,,41,dialogo-aima-aqui-estao-tambem-trouxe-o-comprovativo-de-morada-e-os,,,,Aqui estão. Também trouxe o comprovativo de morada e os recibos de vencimento.,Here they are. I also brought proof of address and my payslips.,在这里。我还带了住址证明和工资单。,在這裡。我還帶了住址證明和工資單。,,,,,
aima,AIMA,dialogo,,42,dialogo-aima-autoriza-a-consulta-do-seu-registo-criminal,,,,Autoriza a consulta do seu registo criminal?,Do you authorise us to check your criminal record?,您授权我们查询您的无犯罪记录吗？,您授權我們查詢您的無犯罪記錄嗎？,,,,,
aima,AIMA,dialogo,,43,dialogo-aima-sim-autorizo,,,,"Sim, autorizo.","Yes, I do.",是的，我授权。,是的，我授權。,,,,,
aima,AIMA,dialogo,,44,dialogo-aima-vamos-agora-recolher-os-dados-biometricos,,,,Vamos agora recolher os dados biométricos.,We'll now collect your biometric data.,现在我们採集您的生物识別资料。,現在我們採集您的生物識別資料。,,,,,
aima,AIMA,dialogo,,45,dialogo-aima-quando-recebo-o-novo-titulo,,,,Quando recebo o novo título?,When will I receive the new card?,新证件什么时候能拿到？,新證件什麼時候能拿到？,,,,,
aima,AIMA,dialogo,,46,dialogo-aima-e-enviado-por-correio-para-a-sua-morada-guarde-o-compr,,,,É enviado por correio para a sua morada. Guarde o comprovativo do pedido.,It's sent by post to your address. Keep the proof of application.,会邮寄到您的地址。请保存好申请憑证。,會郵寄到您的地址。請保存好申請憑證。,,,,,
aima,AIMA,dialogo,,179,dialogo-aima-bom-dia-queria-saber-o-estado-do-meu-processo,,,,"Bom dia, queria saber o estado do meu processo.","Good morning, I'd like to know the status of my case.",早上好，我想查询我的案件状态。,早上好，我想查詢我的案件狀態。,,,,,
aima,AIMA,dialogo,,180,dialogo-aima-tem-o-numero-de-processo,,,,Tem o número de processo?,Do you have the case number?,您有案件編号吗？,您有案件編號嗎？,,,,,
aima,AIMA,dialogo,,181,dialogo-aima-tenho-esta-neste-comprovativo,,,,"Tenho, está neste comprovativo.","Yes, it's on this receipt.",有，在这张憑证上。,有，在這張憑證上。,,,,,
aima,AIMA,dialogo,,182,dialogo-aima-o-processo-esta-em-analise-falta-um-documento-o-regist,,,,O processo está em análise. Falta um documento: o registo criminal apostilado.,The case is under review. One document is missing: the apostilled criminal record.,案件正在审核。缺一份文件：经海牙认证的无犯罪记录。,案件正在審核。缺一份文件：經海牙認證的無犯罪記錄。,,,,,
aima,AIMA,dialogo,,183,dialogo-aima-posso-entregar-por-email-ou-tem-de-ser-presencial,,,,Posso entregar por email ou tem de ser presencial?,Can I submit it by email or must it be in person?,可以邮件提交还是必须到场？,可以郵件提交還是必須到場？,,,,,
aima,AIMA,dialogo,,184,dialogo-aima-pode-carregar-no-portal-com-o-numero-de-processo,,,,"Pode carregar no portal, com o número de processo.","You can upload it on the portal, with your case number.",可以用案件編号在网站上上传。,可以用案件編號在網站上上傳。,,,,,
aima,AIMA,dialogo,,185,dialogo-aima-quero-pedir-a-nacionalidade-que-documentos-preciso,,,,Quero pedir a nacionalidade. Que documentos preciso?,I want to apply for citizenship. What documents do I need?,我想申请入籍。需要哪些文件？,我想申請入籍。需要哪些文件？,,,,,
aima,AIMA,dialogo,,186,dialogo-aima-certidao-de-nascimento-apostilada-e-traduzida-e-regist,,,,"Certidão de nascimento apostilada e traduzida, e registo criminal.","Apostilled and translated birth certificate, and criminal record.",经海牙认证并翻译的出生证明，以及无犯罪记录。,經海牙認證並翻譯的出生證明，以及無犯罪記錄。,,,,,
aima,AIMA,dialogo,,187,dialogo-aima-a-traducao-tem-de-ser-certificada,,,,A tradução tem de ser certificada?,Does the translation have to be certified?,翻译必须是认证的吗？,翻譯必須是認證的嗎？,,,,,
aima,AIMA,dialogo,,188,dialogo-aima-sim-feita-por-tradutor-certificado-ou-notario,,,,"Sim, feita por tradutor certificado ou notário.","Yes, done by a certified translator or notary.",是的，由认证翻译或公证处出具。,是的，由認證翻譯或公證處出具。,,,,,
