pos,gender,id,legacyIds,﻿situacao,tipo,conjunto,pt,en,zh_hant,zh_hans,notas_2026
noun,m,az-0611,situacao-o-comprovativo-de-morada,financas,vocabulário,,o comprovativo de morada,proof of address,住址證明,住址证明,
noun,f,az-0625,situacao-a-certidao-de-residencia-fiscal,financas,vocabulário,,a certidão de residência fiscal,certificate of tax residency,稅務居民證明,税务居民证明,
noun,f-pl,az-0626,situacao-as-guias-de-pagamento,financas,vocabulário,,as guias de pagamento,payment slips,繳費單,缴费单,
,,,,financas,script,diálogo 1,"Bom dia, vim pedir o NIF.","Good morning, I've come to apply for a tax number.",早上好，我來申請稅號。,早上好，我來申请税号。,
,,,,financas,script,diálogo 1,Tem passaporte e comprovativo de morada?,Do you have your passport and proof of address?,您有護照和住址證明嗎？,您有护照和住址证明吗？,
,,,,financas,script,diálogo 1,"Tenho o passaporte, mas a morada ainda é do estrangeiro.","I have my passport, but my address is still abroad.",我有護照，但地址還是國外的。,我有护照，但地址还是國外的。,
,,,,financas,script,diálogo 1,Nesse caso precisa de um representante fiscal ou de uma morada em Portugal.,In that case you need a tax representative or a Portuguese address.,那樣的話，您需要一位稅務代表或一個葡萄牙地址。,那样的话，您需要一位税务代表或一个葡萄牙地址。,
,,,,financas,script,diálogo 1,Quanto tempo demora?,How long does it take?,需要多長時間？,需要多长时间？,
,,,,financas,script,diálogo 1,O número é atribuído hoje mesmo. A senha do portal chega por carta.,The number is issued today. The portal password arrives by post.,號碼今天就發給您。網站密碼會郵寄到府。,号码今天就发给您。网站密码会邮寄到府。,
,,,,financas,script,diálogo 1,Preciso de atualizar a minha morada fiscal.,I need to update my registered tax address.,我需要更新我的稅務登記地址。,我需要更新我的税务登记地址。,
,,,,financas,script,diálogo 1,"Pode fazer isso online no Portal das Finanças, com a sua senha.",You can do that online on the Finanças portal with your password.,您可以用密碼在財政網站上在線辦理。,您可以用密码在财政网站上在线办理。,
,,,,financas,cheat_sheet,,Vim tratar do NIF.,I'm here to sort out my tax number.,我來辦理稅號。,我來办理税号。,
,,,,financas,cheat_sheet,,"Onde tiro a senha, por favor?","Where do I take a queue ticket, please?",請問在哪裡取號？,请问在哪里取号？,
,,,,financas,cheat_sheet,,Trago passaporte e comprovativo de morada.,I have my passport and proof of address.,我帶了護照和住址證明。,我带了护照和住址证明。,
,,,,financas,cheat_sheet,,Preciso de representante fiscal?,Do I need a tax representative?,我需要稅務代表嗎？,我需要税务代表吗？,
,,,,financas,cheat_sheet,,A senha do portal vem por correio?,Does the portal password come by post?,網站密碼是郵寄的嗎？,网站密码是邮寄的吗？,
,,,,financas,cheat_sheet,,Quero atualizar o meu domicílio fiscal.,I want to update my tax address.,我想更新我的稅務登記地址。,我想更新我的税务登记地址。,
noun,m-pl,az-0627,situacao-os-correios-os-ctt,correios,vocabulário,,os correios / os CTT,the post office / CTT,郵局（CTT）,邮局（CTT）,
noun,f,az-0233,,correios,vocabulário,,a carta registada,registered letter,掛號信,挂号信,How official documents usually arrive
noun,m,az-0628,situacao-o-aviso-de-rececao,correios,vocabulário,,o aviso de receção,proof of delivery (return receipt),回執（簽收證明）,回执（签收证明）,
noun,f,az-0222,,correios,vocabulário,,a encomenda,parcel,包裹,包裹,
,,az-0629,situacao-levantar-uma-encomenda,correios,vocabulário,,levantar uma encomenda,to collect a parcel,領取包裹,领取包裹,
noun,m,az-0630,situacao-o-aviso-de-levantamento,correios,vocabulário,,o aviso de levantamento,collection notice (left in mailbox),取件通知單,取件通知单,
noun,m,az-0631,situacao-o-codigo-de-rastreio,correios,vocabulário,,o código de rastreio,tracking number,追蹤編號,追踪編号,
noun,m,az-0632,situacao-o-selo,correios,vocabulário,,o selo,stamp,郵票,邮票,
noun,m,az-0633,situacao-o-correio-azul,correios,vocabulário,,o correio azul,priority mail,藍色優先郵件（快件）,蓝色优先邮件（快件）,
,,az-0634,situacao-enviar-para-o-estrangeiro,correios,vocabulário,,enviar para o estrangeiro,to send abroad,寄往國外,寄往國外,
noun,f,az-0635,situacao-a-caixa-de-correio,correios,vocabulário,,a caixa de correio,mailbox,信箱,信箱,
noun,m,az-0636,situacao-o-remetente-o-destinatario,correios,vocabulário,,o remetente / o destinatário,sender / recipient,寄件人／收件人,寄件人／收件人,
,,,,correios,script,diálogo 1,"Boa tarde, queria enviar esta carta registada com aviso de receção.","Good afternoon, I'd like to send this letter registered with proof of delivery.",下午好，我想寄這封掛號信，要帶回執。,下午好，我想寄这封挂号信，要带回执。,
,,,,correios,script,diálogo 1,Para Portugal ou para o estrangeiro?,Within Portugal or abroad?,寄葡萄牙國內還是國外？,寄葡萄牙國内还是國外？,
,,,,correios,script,diálogo 1,Para a China. Quanto tempo demora?,To China. How long does it take?,寄中國。需要多久？,寄中國。需要多久？,
,,,,correios,script,diálogo 1,"Em correio azul, cerca de uma semana. Aqui tem o código de rastreio.","By priority mail, about a week. Here's your tracking number.",用優先郵件大約一週。這是您的追蹤編號。,用优先邮件大约一周。这是您的追踪編号。,
,,,,correios,script,diálogo 1,Também vim levantar uma encomenda. Tenho este aviso.,I've also come to collect a parcel. I have this notice.,我還要領一個包裹，我有這張取件通知。,我还要领一个包裹，我有这张取件通知。,
,,,,correios,script,diálogo 1,Pode mostrar um documento de identificação?,Could you show me some ID?,可以出示一下證件嗎？,可以出示一下证件吗？,
,,,,correios,script,diálogo 1,"Claro, aqui está o meu título de residência.","Of course, here's my residence permit.",當然，這是我的居留證。,当然，这是我的居留证。,
,,,,correios,cheat_sheet,,Queria enviar esta carta registada.,I'd like to send this letter by registered mail.,我想寄這封掛號信。,我想寄这封挂号信。,
,,,,correios,cheat_sheet,,"Com aviso de receção, por favor.","With proof of delivery, please.",請加回執。,请加回执。,
,,,,correios,cheat_sheet,,Vim levantar uma encomenda — tenho o aviso.,I'm here to collect a parcel — I have the notice.,我來取包裹——我有取件通知單。,我來取包裹——我有取件通知单。,
,,,,correios,cheat_sheet,,Aqui está o meu documento de identificação.,Here's my ID.,這是我的證件。,这是我的证件。,
,,,,correios,cheat_sheet,,Qual é o código de rastreio?,What's the tracking number?,追蹤編號是多少？,追踪編号是多少？,
,,,,correios,cheat_sheet,,Quanto custa enviar para o estrangeiro?,How much does it cost to send abroad?,寄國外要多少錢？,寄國外要多少钱？,
noun,f,az-0637,situacao-a-junta-de-freguesia,junta_de_freguesia,vocabulário,,a junta de freguesia,parish council office,堂區行政委員會（社區辦事處）,堂区行政委员会（社区办事处）,Most local level of government
noun,m,az-0638,situacao-o-atestado-de-residencia,junta_de_freguesia,vocabulário,,o atestado de residência,certificate of residence,居住證明書,居住证明书,Key doc for SNS number without residence permit
noun,f-pl,az-0639,situacao-as-duas-testemunhas,junta_de_freguesia,vocabulário,,as duas testemunhas,two witnesses,兩名證人,两名证人,Neighbours registered in the same freguesia
,,az-0640,situacao-recenseado-na-freguesia,junta_de_freguesia,vocabulário,,recenseado na freguesia,registered (on the electoral roll) in the parish,在本堂區登記在冊的,在本堂区登记在册的,
noun,m,az-0641,situacao-o-agregado-familiar,junta_de_freguesia,vocabulário,,o agregado familiar,household,家庭成員（同戶）,家庭成员（同户）,
noun,f,az-0642,situacao-a-declaracao-sob-compromisso-de-honra,junta_de_freguesia,vocabulário,,a declaração sob compromisso de honra,sworn declaration,誓詞聲明（保證聲明）,誓词声明（保证声明）,
noun,m,az-0643,situacao-o-contrato-de-arrendamento,junta_de_freguesia,vocabulário,,o contrato de arrendamento,rental contract,租賃合同,租赁合同,
noun,f,az-0644,situacao-a-certidao,junta_de_freguesia,vocabulário,,a certidão,certificate / official copy,證明書／正式副本,证明书／正式副本,
noun,m,az-0645,situacao-o-carimbo,junta_de_freguesia,vocabulário,,o carimbo,official stamp,公章,公章,
,,az-0646,situacao-pagar-uma-taxa,junta_de_freguesia,vocabulário,,pagar uma taxa,to pay a fee,繳納費用,缴納费用,
,,,,junta_de_freguesia,script,diálogo 1,"Bom dia, preciso de um atestado de residência.","Good morning, I need a certificate of residence.",早上好，我需要一份居住證明。,早上好，我需要一份居住证明。,
,,,,junta_de_freguesia,script,diálogo 1,Mora nesta freguesia há quanto tempo?,How long have you lived in this parish?,您在本堂區住了多久？,您在本堂区住了多久？,
,,,,junta_de_freguesia,script,diálogo 1,Há quatro meses. É para pedir o número de utente.,Four months. It's to apply for my health service number.,四個月了。是為了申請醫療用戶號。,四个月了。是为了申请医疗用户号。,
,,,,junta_de_freguesia,script,diálogo 1,Tem contrato de arrendamento ou duas testemunhas recenseadas aqui?,Do you have a rental contract or two witnesses registered here?,您有租賃合同，或兩位在此登記的證人嗎？,您有租赁合同，或两位在此登记的证人吗？,
,,,,junta_de_freguesia,script,diálogo 1,Tenho o contrato de arrendamento e uma fatura da luz.,I have the rental contract and an electricity bill.,我有租賃合同和一張電費單。,我有租赁合同和一张电费单。,
,,,,junta_de_freguesia,script,diálogo 1,"Ótimo. Preencha este formulário e pague a taxa, por favor.","Great. Fill in this form and pay the fee, please.",很好。請填寫這張表格並繳費。,很好。请填写这张表格并缴费。,
,,,,junta_de_freguesia,script,diálogo 1,Quando fica pronto?,When will it be ready?,什麼時候可以拿？,什么时候可以拿？,
,,,,junta_de_freguesia,script,diálogo 1,"Fica pronto hoje, com o carimbo da junta.","It'll be ready today, with the parish stamp.",今天就好，會蓋上堂區公章。,今天就好，会盖上堂区公章。,
,,,,junta_de_freguesia,cheat_sheet,,"Preciso de um atestado de residência, por favor.","I need a certificate of residence, please.",我需要一份居住證明，麻煩您。,我需要一份居住证明，麻煩您。,
,,,,junta_de_freguesia,cheat_sheet,,Moro nesta freguesia há X meses.,I've lived in this parish for X months.,我在本堂區住了X個月。,我在本堂区住了X个月。,
,,,,junta_de_freguesia,cheat_sheet,,Trago o contrato de arrendamento.,I have my rental contract with me.,我帶了租賃合同。,我带了租赁合同。,
,,,,junta_de_freguesia,cheat_sheet,,"Posso trazer duas testemunhas, se for preciso.",I can bring two witnesses if necessary.,如有需要，我可以帶兩位證人來。,如有需要，我可以带两位证人來。,
,,,,junta_de_freguesia,cheat_sheet,,Quanto custa e quando fica pronto?,How much is it and when will it be ready?,多少錢？什麼時候能拿？,多少钱？什么时候能拿？,
noun,m,az-0647,situacao-o-numero-de-utente,saude,vocabulário,,o número de utente,SNS user number,醫療用戶號（Utente號）,医疗用户号（Utente号）,Assigned at your local centro de saúde
,,az-0648,situacao-inscrever-se-no-centro-de-saude,saude,vocabulário,,inscrever-se no centro de saúde,to register at the health centre,在衛生中心登記,在卫生中心登记,
noun,m,az-0649,situacao-o-medico-de-familia,saude,vocabulário,,o médico de família,family doctor (GP),家庭醫生,家庭医生,"May be waitlisted; you're assigned, not chosen"
,,az-0340,,saude,vocabulário,,marcar uma consulta,to book an appointment,預約門診,预约门诊,
noun,f,az-0650,situacao-a-receita-eletronica,saude,vocabulário,,a receita (eletrónica),(electronic) prescription,（電子）處方,（电子）处方,Sent by SMS; show code at pharmacy
noun,f,az-0512,situacao-a-urgencia,saude,vocabulário,,a urgência,A&E / emergency department,急診,急诊,
noun,m,az-0652,situacao-o-sns-24-808-24-24-24,saude,vocabulário,,o SNS 24 — 808 24 24 24,SNS 24 health line,SNS 24健康熱線（808 24 24 24）,SNS 24健康热线（808 24 24 24）,Call BEFORE going to A&E for triage advice
noun,m,az-0653,situacao-o-112,saude,vocabulário,,o 112,112 (emergency number),112（緊急救援電話）,112（紧急救援电话）,
noun,f,az-0654,situacao-a-triagem-pulseira,saude,vocabulário,,a triagem (pulseira),triage (coloured wristband),分診（顏色手環）,分诊（颜色手环）,"Wristband colour = urgency level, sets your wait"
noun,f,az-0655,situacao-a-baixa-medica,saude,vocabulário,,a baixa médica,sick leave certificate,病假證明,病假证明,
noun,f,az-0312,,saude,vocabulário,,a farmácia,pharmacy,藥房,药房,
noun,m,az-0464,,saude,vocabulário,,o boletim de vacinas,vaccination record,疫苗接種記錄,疫苗接种记录,
,,az-0656,situacao-doi-me,saude,vocabulário,,Dói-me…,… hurts / I have pain in…,我……痛,我……痛,
,,az-0657,situacao-sou-alergico-a-a,saude,vocabulário,,sou alérgico/a a…,I'm allergic to…,我對……過敏,我对……过敏,
,,,,saude,script,diálogo 1,"Boa tarde, queria inscrever-me no centro de saúde e pedir o número de utente.","Good afternoon, I'd like to register at the health centre and get my SNS number.",下午好，我想在衛生中心登記並申請醫療用戶號。,下午好，我想在卫生中心登记并申请医疗用户号。,
,,,,saude,script,diálogo 1,Tem autorização de residência e NIF?,Do you have a residence permit and tax number?,您有居留許可和稅號嗎？,您有居留許可和税号吗？,
,,,,saude,script,diálogo 1,"Ainda não tenho autorização, mas tenho um atestado de residência da junta.","I don't have a permit yet, but I have a residence certificate from the parish council.",我還沒有居留許可，但我有堂區開的居住證明。,我还没有居留許可，但我有堂区开的居住证明。,
,,,,saude,script,diálogo 1,Serve. O número de utente é atribuído já hoje.,That works. Your user number is issued today.,可以。用戶號今天就發給您。,可以。用户号今天就发给您。,
,,,,saude,script,diálogo 1,Queria marcar uma consulta com o médico de família.,I'd like to book an appointment with the family doctor.,我想預約家庭醫生。,我想预约家庭医生。,
,,,,saude,script,diálogo 1,De momento está em lista de espera para médico de família.,At the moment you're on the waiting list for a family doctor.,目前您在家庭醫生的等候名單上。,目前您在家庭医生的等候名单上。,
,,,,saude,script,diálogo 1,E se ficar doente entretanto?,And if I get sick in the meantime?,那期間生病了怎麼辦？,那期间生病了怎么办？,
,,,,saude,script,diálogo 1,Ligue para o SNS 24 — 808 24 24 24 — antes de ir à urgência.,Call SNS 24 — 808 24 24 24 — before going to A&E.,去急診前先打SNS 24熱線——808 24 24 24。,去急诊前先打SNS 24热线——808 24 24 24。,
,,,,saude,cheat_sheet,,Queria inscrever-me e pedir o número de utente.,I'd like to register and get my SNS number.,我想登記並申請醫療用戶號。,我想登记并申请医疗用户号。,
,,,,saude,cheat_sheet,,Tenho atestado de residência e NIF.,I have a residence certificate and tax number.,我有居住證明和稅號。,我有居住证明和税号。,
,,,,saude,cheat_sheet,,"Queria marcar uma consulta, por favor.","I'd like to book an appointment, please.",我想預約門診，麻煩您。,我想预约门诊，麻煩您。,
,,,,saude,cheat_sheet,,É urgente — dói-me muito o/a…,It's urgent — my … hurts badly.,很緊急——我的……很痛。,很紧急——我的……很痛。,
,,,,saude,cheat_sheet,,Sou alérgico/a a penicilina.,I'm allergic to penicillin.,我對青黴素過敏。,我对青霉素过敏。,
,,,,saude,cheat_sheet,,SNS 24: 808 24 24 24 · Emergência: 112,SNS 24: 808 24 24 24 · Emergency: 112,健康熱線：808 24 24 24 · 緊急救援：112,健康热线：808 24 24 24 · 紧急救援：112,
noun,f,az-0658,situacao-a-aima,aima,vocabulário,,a AIMA,"AIMA (Agency for Integration, Migration and Asylum)",移民與庇護融合署（AIMA）,移民与庇护融合署（AIMA）,Replaced SEF in Oct 2023
noun,f,az-0659,situacao-a-autorizacao-de-residencia-ar,aima,vocabulário,,a autorização de residência (AR),residence permit,居留許可,居留許可,
noun,m,az-0660,situacao-o-titulo-de-residencia,aima,vocabulário,,o título de residência,residence card (the physical document),居留證（實體證件）,居留证（实体证件）,
noun,f,az-0661,situacao-a-renovacao,aima,vocabulário,,a renovação,renewal,續期,续期,"Apply from 90 days, up to 30 days before expiry"
noun,m,az-0662,situacao-o-portal-das-renovacoes,aima,vocabulário,,o Portal das Renovações,the online Renewals Portal,線上續期平台,线上续期平台,portal-renovacoes.aima.gov.pt; opened month by month
noun,f,az-0663,situacao-a-marcacao-o-agendamento,aima,vocabulário,,a marcação / o agendamento,appointment / booking,預約,预约,
noun,f,az-0664,situacao-a-recolha-de-dados-biometricos,aima,vocabulário,,a recolha de dados biométricos,biometric data collection,採集生物識別資料（按指紋等）,採集生物识別资料（按指紋等）,
noun,m,az-0665,situacao-o-comprovativo-de-meios-de-subsistencia,aima,vocabulário,,o comprovativo de meios de subsistência,proof of means of subsistence,生活來源證明,生活來源证明,"Work contract, payslips or bank statement"
noun,m,az-0240,situacao-o-registo-criminal,aima,vocabulário,,o registo criminal,criminal record (check),無犯罪記錄,无犯罪记录,Consent for lookup usually given at the counter
noun,m,az-0566,,aima,vocabulário,,o reagrupamento familiar,family reunification,家庭團聚,家庭团聚,
noun,m,az-0667,situacao-o-processo-pendente,aima,vocabulário,,o processo pendente,pending case/process,待處理的申請,待处理的申请,
,,az-0668,situacao-caducado-a,aima,vocabulário,,caducado/a,expired,已過期,已过期,AR expired <6 months can still renew
noun,f-pl,az-0669,situacao-as-taxas,aima,vocabulário,,as taxas,fees,費用,费用,
,,,,aima,script,diálogo 1,"Bom dia, tenho uma marcação para renovar a autorização de residência.","Good morning, I have an appointment to renew my residence permit.",早上好，我有續居留許可的預約。,早上好，我有续居留許可的预约。,
,,,,aima,script,diálogo 1,Pode mostrar o título de residência e o passaporte?,Can you show me your residence card and passport?,可以出示您的居留證和護照嗎？,可以出示您的居留证和护照吗？,
,,,,aima,script,diálogo 1,Aqui estão. Também trouxe o comprovativo de morada e os recibos de vencimento.,Here they are. I also brought proof of address and my payslips.,在這裡。我還帶了住址證明和工資單。,在这里。我还带了住址证明和工资单。,
,,,,aima,script,diálogo 1,Autoriza a consulta do seu registo criminal?,Do you authorise us to check your criminal record?,您授權我們查詢您的無犯罪記錄嗎？,您授权我们查询您的无犯罪记录吗？,
,,,,aima,script,diálogo 1,"Sim, autorizo.","Yes, I do.",是的，我授權。,是的，我授权。,
,,,,aima,script,diálogo 1,Vamos agora recolher os dados biométricos.,We'll now collect your biometric data.,現在我們採集您的生物識別資料。,现在我们採集您的生物识別资料。,
,,,,aima,script,diálogo 1,Quando recebo o novo título?,When will I receive the new card?,新證件什麼時候能拿到？,新证件什么时候能拿到？,
,,,,aima,script,diálogo 1,É enviado por correio para a sua morada. Guarde o comprovativo do pedido.,It's sent by post to your address. Keep the proof of application.,會郵寄到您的地址。請保存好申請憑證。,会邮寄到您的地址。请保存好申请憑证。,
,,,,aima,cheat_sheet,,"Tenho marcação às [hora], em nome de [nome].","I have an appointment at [time], under the name [name].",我有[時間]的預約，名字是[姓名]。,我有[时间]的预约，名字是[姓名]。,
,,,,aima,cheat_sheet,,Venho renovar a autorização de residência.,I'm here to renew my residence permit.,我來續居留許可。,我來续居留許可。,
,,,,aima,cheat_sheet,,"Trago passaporte, título, comprovativo de morada e recibos.","I have my passport, residence card, proof of address and payslips.",我帶了護照、居留證、住址證明和工資單。,我带了护照、居留证、住址证明和工资单。,
,,,,aima,cheat_sheet,,Autorizo a consulta do registo criminal.,I authorise the criminal record check.,我授權查詢無犯罪記錄。,我授权查询无犯罪记录。,
,,,,aima,cheat_sheet,,O meu processo está pendente — este é o comprovativo.,My case is pending — here's the proof.,我的申請還在處理中——這是憑證。,我的申请还在处理中——这是憑证。,
,,,,aima,cheat_sheet,,Podem confirmar a minha morada no sistema?,Can you confirm my address in the system?,可以確認一下系統裡我的地址嗎？,可以确认一下系统里我的地址吗？,
noun,f,az-0670,situacao-a-matricula,escola,vocabulário,,a matrícula,enrolment,入學註冊,入学註册,
noun,m,az-0671,situacao-o-portal-das-matriculas,escola,vocabulário,,o Portal das Matrículas,the online enrolment portal,入學註冊網站,入学註册网站,portaldasmatriculas.edu.gov.pt
noun,m,az-0672,situacao-o-encarregado-de-educacao,escola,vocabulário,,o encarregado de educação,legal guardian (for school purposes),教育監護人,教育监护人,Usually a parent; the school's official contact
noun,m,az-0673,situacao-o-agrupamento-de-escolas,escola,vocabulário,,o agrupamento de escolas,school cluster,學校群（校區聯盟）,学校群（校区联盟）,
noun,f,az-0674,situacao-a-escola-da-area-de-residencia,escola,vocabulário,,a escola da área de residência,the school for your home address,居住地劃片學校,居住地划片学校,
noun,m,az-0675,situacao-o-ano-letivo,escola,vocabulário,,o ano letivo,school year,學年,学年,
noun,m,az-0464,,escola,vocabulário,,o boletim de vacinas,vaccination record,疫苗接種記錄,疫苗接种记录,
noun,f,az-0676,situacao-a-acao-social-escolar-ase,escola,vocabulário,,a Ação Social Escolar (ASE),school social support (meals/books subsidy),學校社會援助（餐費/教材補助）,学校社会援助（餐费/教材补助）,Linked to abono de família escalão; needs NISS
noun,m,az-0677,situacao-o-abono-de-familia,escola,vocabulário,,o abono de família,family allowance,家庭津貼,家庭津贴,
noun,m-pl,az-0678,situacao-os-manuais-escolares,escola,vocabulário,,os manuais escolares,textbooks,教科書,教科书,Free in public schooling
noun,m,az-0679,situacao-o-horario,escola,vocabulário,,o horário,timetable,課程表,课程表,
noun,f,az-0680,situacao-a-reuniao-de-pais,escola,vocabulário,,a reunião de pais,parents' meeting,家長會,家长会,
noun,m,az-0681,situacao-o-atl,escola,vocabulário,,o ATL,after-school care,課後託管,课后託管,
noun,f,az-0682,situacao-a-cantina-o-refeitorio,escola,vocabulário,,a cantina / o refeitório,school canteen,學校食堂,学校食堂,
,,,,escola,script,diálogo 1,"Bom dia, queria matricular a minha filha na escola.","Good morning, I'd like to enrol my daughter in school.",早上好，我想給女兒辦理入學註冊。,早上好，我想给女儿办理入学註册。,
,,,,escola,script,diálogo 1,"A matrícula faz-se online, no Portal das Matrículas. Precisa de ajuda?","Enrolment is done online, on the enrolment portal. Do you need help?",註冊在入學網站上在線辦理。需要幫忙嗎？,註册在入学网站上在线办理。需要帮忙吗？,
,,,,escola,script,diálogo 1,"Sim, por favor. Que documentos são precisos?","Yes, please. What documents are needed?",好的，麻煩您。需要哪些文件？,好的，麻煩您。需要哪些文件？,
,,,,escola,script,diálogo 1,"Documento de identificação da criança, número de utente, boletim de vacinas e comprovativo de morada.","The child's ID, health number, vaccination record and proof of address.",孩子的身份證件、醫療用戶號、疫苗記錄和住址證明。,孩子的身份证件、医疗用户号、疫苗记录和住址证明。,
,,,,escola,script,diálogo 1,Ela pode ter apoio para as refeições?,Can she get support for school meals?,她可以申請餐費補助嗎？,她可以申请餐费补助吗？,
