scenario,section,order,speaker,pt,en,zh_hant,zh_hans,example_pt,example_zh_hant,example_zh_hans
Ginásio,vocabulario,4,,a mensalidade,monthly fee,月費,月费,A mensalidade é de trinta euros.,月費是三十歐元。,月费是三十欧元。
Ginásio,vocabulario,5,,a taxa de inscrição,joining fee,入會費,入会费,A taxa de inscrição paga-se uma vez.,入會費只付一次。,入会费只付一次。
Ginásio,vocabulario,6,,a fidelização,loyalty period (lock-in),綁約,绑约,Não quero fidelização.,我不想綁約。,我不想绑约。
Ginásio,vocabulario,7,,o contrato,contract,合約,合约,Li o contrato todo.,我把合約全看了。,我把合约全看了。
Ginásio,vocabulario,8,,cancelar,to cancel,取消,取消,Quero cancelar a inscrição.,我想取消會籍。,我想取消会籍。
Ginásio,vocabulario,9,,a aula experimental,trial class,體驗課,体验课,A aula experimental é grátis.,體驗課是免費的。,体验课是免费的。
Ginásio,vocabulario,10,,a aula de grupo,group class,團體課,团体课,Adoro as aulas de grupo.,我很喜歡團體課。,我很喜欢团体课。
Ginásio,vocabulario,11,,o treino,workout,訓練,训练,O treino foi duro.,這次訓練很累。,这次训练很累。
Ginásio,vocabulario,12,,o treinador,trainer,教練,教练,O treinador ajuda-me muito.,教練幫了我很多。,教练帮了我很多。
Ginásio,vocabulario,13,,o plano de treino,training plan,訓練計劃,训练计划,Segue o plano de treino.,按照訓練計劃做。,按照训练计划做。
Ginásio,vocabulario,14,,o cacifo,locker,置物櫃,置物柜,Deixei tudo no cacifo.,我把東西都放在置物櫃。,我把东西都放在置物柜。
Ginásio,vocabulario,15,,o cadeado,padlock,掛鎖,挂锁,Esqueci-me do cadeado.,我忘了帶掛鎖。,我忘了带挂锁。
Ginásio,vocabulario,16,,o balneário,changing room,更衣室,更衣室,O balneário está limpo.,更衣室很乾淨。,更衣室很干净。
Ginásio,vocabulario,17,,o chuveiro,shower,淋浴,淋浴,O chuveiro é quente.,淋浴的水是熱的。,淋浴的水是热的。
Ginásio,vocabulario,18,,a toalha,towel,毛巾,毛巾,A toalha é obrigatória.,毛巾是必備的。,毛巾是必备的。
Ginásio,vocabulario,19,,as sapatilhas,sneakers,運動鞋,运动鞋,Comprei sapatilhas novas.,我買了新運動鞋。,我买了新运动鞋。
Ginásio,vocabulario,20,,a passadeira,treadmill,跑步機,跑步机,Corro na passadeira.,我在跑步機上跑步。,我在跑步机上跑步。
Ginásio,vocabulario,21,,os halteres,dumbbells,啞鈴,哑铃,Os halteres são pesados.,這些啞鈴很重。,这些哑铃很重。
Ginásio,vocabulario,22,,a elíptica,elliptical machine,橢圓機,椭圆机,Prefiro a elíptica à passadeira.,比起跑步機我更愛橢圓機。,比起跑步机我更爱椭圆机。
Ginásio,vocabulario,23,,a bicicleta estática,exercise bike,健身車,健身车,Faço bicicleta vinte minutos.,我踩健身車二十分鐘。,我踩健身车二十分钟。
Ginásio,vocabulario,24,,o remo,rowing machine,划船機,划船机,O remo cansa muito.,划船機很累人。,划船机很累人。
Ginásio,vocabulario,25,,a barra,barbell,槓鈴,杠铃,A barra pesa vinte quilos.,槓鈴重二十公斤。,杠铃重二十公斤。
Ginásio,vocabulario,26,,a máquina,machine (gym),器械,器械,Esta máquina está ocupada.,這台器械有人在用。,这台器械有人在用。
Ginásio,vocabulario,27,,o peso,weight,重量,重量,Baixa um pouco o peso.,把重量調輕一點。,把重量调轻一点。
Ginásio,vocabulario,28,,o alongamento,stretching,伸展,伸展,Faz alongamentos no fim.,最後要做伸展。,最后要做伸展。
Ginásio,vocabulario,29,,o aquecimento,warm-up,熱身,热身,Nunca saltes o aquecimento.,千萬別跳過熱身。,千万别跳过热身。
Ginásio,vocabulario,30,,a musculação,weight training,重量訓練,重量训练,Prefiro musculação a cardio.,我愛重訓勝過有氧。,我爱重训胜过有氧。
Ginásio,vocabulario,31,,o horário,opening hours,營業時間,营业时间,O horário é alargado.,營業時間很長。,营业时间很长。
Ginásio,vocabulario,32,,o cartão de sócio,membership card,會員卡,会员卡,Traz o cartão de sócio.,帶上會員卡。,带上会员卡。
Ginásio,vocabulario,33,,a avaliação física,fitness assessment,體能評估,体能评估,Fiz a avaliação física ontem.,我昨天做了體能評估。,我昨天做了体能评估。
Ginásio,vocabulario,34,,a lesão,injury,損傷,损伤,Tenho uma lesão no joelho.,我膝蓋受傷了。,我膝盖受伤了。
Ginásio,vocabulario,35,,magoar-se,to hurt oneself,受傷,受伤,Magoei-me nas costas.,我背受傷了。,我背受伤了。
Ginásio,vocabulario,36,,suar,to sweat,流汗,流汗,Suei imenso hoje.,我今天流了好多汗。,我今天流了好多汗。
Ginásio,dialogo,1,A,"Boa tarde, queria informações sobre a inscrição.","Good afternoon, I'd like some information about signing up.",午安，我想了解報名資訊。,下午好，我想了解报名信息。,,,
Ginásio,dialogo,2,B,Com certeza. Já conhece o ginásio?,Of course. Do you know the gym already?,好的。您來過這家健身房嗎？,好的。您来过这家健身房吗？,,,
Ginásio,dialogo,3,A,"Não, é a primeira vez.","No, it's my first time.",沒有，第一次來。,没有，第一次来。,,,
Ginásio,dialogo,4,B,Quer fazer uma aula experimental grátis?,Would you like a free trial class?,想上免費體驗課嗎？,想上免费体验课吗？,,,
Ginásio,dialogo,5,A,"Sim, ótimo. Quanto é a mensalidade?","Yes, great. How much is the monthly fee?",好啊。月費多少？,好啊。月费多少？,,,
Ginásio,dialogo,6,B,"Trinta euros, com fidelização de um ano.","Thirty euros, with a one-year lock-in.",三十歐元，綁約一年。,三十欧元，绑约一年。,,,
Ginásio,dialogo,7,A,E sem fidelização?,And without the lock-in?,不綁約呢？,不绑约呢？,,,
Ginásio,dialogo,8,B,Fica em quarenta euros por mês.,It comes to forty euros a month.,那就每月四十歐元。,那就每月四十欧元。,,,
Ginásio,dialogo,9,A,A taxa de inscrição está incluída?,Is the joining fee included?,含入會費嗎？,含入会费吗？,,,
Ginásio,dialogo,10,B,"São vinte euros, pagos só uma vez.","It's twenty euros, paid one time only.",二十歐元，只收一次。,二十欧元，只收一次。,,,
Ginásio,dialogo,11,A,Posso cancelar quando quiser?,Can I cancel whenever I want?,可以隨時取消嗎？,可以随时取消吗？,,,
Ginásio,dialogo,12,B,"Sem fidelização, sim, com um mês de aviso.","Without the lock-in, yes, with one month's notice.",不綁約可以，提前一個月通知。,不绑约可以，提前一个月通知。,,,
Ginásio,dialogo,13,A,Qual é o horário?,What are the opening hours?,營業時間是？,营业时间是？,,,
Ginásio,dialogo,14,B,"Das sete às vinte e duas, todos os dias.","From seven to ten p.m., every day.",每天七點到二十二點。,每天七点到二十二点。,,,
Ginásio,dialogo,15,A,Preciso de trazer toalha?,Do I need to bring a towel?,要自備毛巾嗎？,要自备毛巾吗？,,,
Ginásio,dialogo,16,B,"Sim, a toalha é obrigatória.","Yes, a towel is mandatory.",要，毛巾是必備的。,要，毛巾是必备的。,,,
Ginásio,cartao,1,,Quanto é a mensalidade?,How much is the monthly fee?,月費多少？,月费多少？,,,
Ginásio,cartao,2,,Há fidelização?,Is there a lock-in period?,有綁約嗎？,有绑约吗？,,,
Ginásio,cartao,3,,Posso cancelar quando quiser?,Can I cancel anytime?,可以隨時取消嗎？,可以随时取消吗？,,,
Ginásio,cartao,4,,Queria uma aula experimental.,I'd like a trial class.,我想上體驗課。,我想上体验课。,,,
Ginásio,cartao,5,,A taxa de inscrição está incluída?,Is the joining fee included?,含入會費嗎？,含入会费吗？,,,
Ginásio,cartao,6,,Qual é o horário?,What are the opening hours?,營業時間是？,营业时间是？,,,
Ginásio,cartao,7,,Há aulas de grupo?,Are there group classes?,有團體課嗎？,有团体课吗？,,,
Ginásio,cartao,8,,Preciso de trazer toalha?,Do I need to bring a towel?,要自備毛巾嗎？,要自备毛巾吗？,,,
Ginásio,cartao,9,,Onde são os balneários?,Where are the changing rooms?,更衣室在哪？,更衣室在哪？,,,
Ginásio,cartao,10,,Onde estão os cacifos?,Where are the lockers?,置物櫃在哪？,置物柜在哪？,,,
Ginásio,cartao,11,,Preciso de cadeado?,Do I need a padlock?,需要掛鎖嗎？,需要挂锁吗？,,,
Ginásio,cartao,12,,Como funciona esta máquina?,How does this machine work?,這台器械怎麼用？,这台器械怎么用？,,,
Ginásio,cartao,13,,"Pode ajudar-me, por favor?","Can you help me, please?",可以幫我嗎？,可以帮我吗？,,,
Ginásio,cartao,14,,Magoei-me no treino.,I hurt myself training.,我訓練時受傷了。,我训练时受伤了。,,,
Ginásio,cartao,15,,Quero falar com um treinador.,I want to talk to a trainer.,我想找教練。,我想找教练。,,,
Ginásio,cartao,16,,Quero cancelar o contrato.,I want to cancel my contract.,我想解約。,我想解约。,,,
Convívio,vocabulario,1,,o convite,invitation,邀請,邀请,"Aceito o convite, obrigado.",我接受邀請，謝謝。,我接受邀请，谢谢。
Convívio,vocabulario,2,,convidar,to invite,邀請,邀请,Vou convidar a Ana.,我要邀請Ana。,我要邀请Ana。
Convívio,vocabulario,3,,combinar,to arrange to meet,約定,约定,Combinamos para sábado?,我們約週六好嗎？,我们约周六好吗？
Convívio,vocabulario,4,,a esplanada,outdoor café terrace,露天座位,露天座位,Sentamo-nos na esplanada?,我們坐露天座位好嗎？,我们坐露天座位好吗？
Convívio,vocabulario,5,,o aniversário,birthday,生日,生日,O aniversário dele é hoje.,今天是他的生日。,今天是他的生日。
Convívio,vocabulario,6,,os parabéns,congratulations / happy birthday,恭喜,恭喜,Dei-lhe os parabéns.,我向他道賀了。,我向他道贺了。
Convívio,vocabulario,7,,a festa,party,派對,派对,A festa começa às nove.,派對九點開始。,派对九点开始。
Convívio,vocabulario,8,,a conta,bill,帳單,账单,"A conta, por favor.",請買單。,请买单。
Convívio,vocabulario,9,,dividir a conta,to split the bill,分攤帳單,分摊账单,Dividimos a conta a meias.,我們對半分帳單。,我们对半分账单。
Convívio,vocabulario,10,,oferecer,to treat (pay for someone),請客,请客,Hoje ofereço eu.,今天我請客。,今天我请客。
Convívio,vocabulario,11,,brindar,to toast,舉杯,举杯,Brindámos ao aniversário.,我們為生日舉杯。,我们为生日举杯。
Convívio,vocabulario,12,,saúde!,cheers!,乾杯,干杯,Saúde! À nossa!,乾杯！敬我們！,干杯！敬我们！
Convívio,vocabulario,13,,encontrar-se,to meet up,見面,见面,Encontramo-nos às oito.,我們八點見面。,我们八点见面。
Convívio,vocabulario,14,,chegar atrasado,to arrive late,遲到,迟到,Ele chega sempre atrasado.,他總是遲到。,他总是迟到。
Convívio,vocabulario,15,,o atraso,lateness / delay,延誤,延误,Desculpa o atraso.,抱歉我遲到了。,抱歉我迟到了。
Convívio,vocabulario,16,,desmarcar,to cancel (plans),取消約定,取消约定,Tive de desmarcar o café.,我只好取消喝咖啡的約。,我只好取消喝咖啡的约。
Convívio,vocabulario,17,,adiar,to postpone,延期,延期,Podemos adiar para sexta?,能改到週五嗎？,能改到周五吗？
Convívio,vocabulario,18,,estar livre,to be free,有空,有空,Estou livre à tarde.,我下午有空。,我下午有空。
Convívio,vocabulario,19,,estar ocupado,to be busy,忙碌,忙碌,Hoje estou muito ocupado.,我今天很忙。,我今天很忙。
Convívio,vocabulario,20,,apetecer,to feel like,想要,想要,Apetece-me um gelado.,我想吃冰淇淋。,我想吃冰淇淋。
Convívio,vocabulario,21,,a conversa,conversation,談話,谈话,A conversa foi boa.,聊得很愉快。,聊得很愉快。
Convívio,vocabulario,22,,conversar,to chat,聊天,聊天,Gosto de conversar contigo.,我喜歡和你聊天。,我喜欢和你聊天。
Convívio,vocabulario,23,,conhecer,to meet / get to know,認識,认识,Quero conhecer os teus amigos.,我想認識你的朋友。,我想认识你的朋友。
Convívio,vocabulario,24,,apresentar,to introduce,介紹,介绍,Apresento-te o Pedro.,我幫你介紹Pedro。,我帮你介绍Pedro。
Convívio,vocabulario,25,,o colega,colleague,同事,同事,Vou com uma colega.,我和一位同事一起去。,我和一位同事一起去。
Convívio,vocabulario,26,,a piada,joke,笑話,笑话,Que piada tão boa!,這笑話真好笑！,这笑话真好笑！
Convívio,vocabulario,27,,rir,to laugh,笑,笑,Rimos a noite toda.,我們笑了一整晚。,我们笑了一整晚。
Convívio,vocabulario,28,,divertir-se,to have fun,玩得開心,玩得开心,Divertimo-nos imenso ontem.,我們昨天玩得超開心。,我们昨天玩得超开心。
Convívio,vocabulario,29,,o encontro,get-together,聚會,聚会,O encontro é no café.,聚會在咖啡館。,聚会在咖啡馆。
Convívio,vocabulario,30,,a rodada,round (of drinks),一輪酒,一轮酒,Esta rodada é minha.,這輪酒我請。,这轮酒我请。
Convívio,vocabulario,31,,pagar,to pay,付錢,付钱,"Deixa, pago eu.",別搶，我來付。,别抢，我来付。
Convívio,vocabulario,32,,o brinde,toast (raising glasses),祝酒,祝酒,Fizemos um brinde à Rita.,我們為Rita舉杯。,我们为Rita举杯。
Convívio,dialogo,1,A,"Olá! Então, tudo bem?","Hi! So, how's it going?",嗨！最近好嗎？,嗨！最近好吗？,,,
Convívio,dialogo,2,B,"Tudo, e contigo?","Good, and you?",挺好的，你呢？,挺好的，你呢？,,,
Convívio,dialogo,3,A,Também. Há quanto tempo!,Me too. Long time no see!,我也是。好久不見！,我也是。好久不见！,,,
Convívio,dialogo,4,B,Pois é! Temos de combinar algo.,Right! We should make plans.,對啊！我們該約一下。,对啊！我们该约一下。,,,
Convívio,dialogo,5,A,Queres ir tomar um café amanhã?,Want to grab a coffee tomorrow?,明天去喝咖啡嗎？,明天去喝咖啡吗？,,,
Convívio,dialogo,6,B,"Amanhã não posso, estou ocupado.","I can't tomorrow, I'm busy.",明天不行，我很忙。,明天不行，我很忙。,,,
Convívio,dialogo,7,A,E no sábado à tarde?,What about Saturday afternoon?,那週六下午呢？,那周六下午呢？,,,
Convívio,dialogo,8,B,No sábado estou livre. Onde?,I'm free on Saturday. Where?,週六有空。在哪？,周六有空。在哪？,,,
Convívio,dialogo,9,A,Naquela esplanada perto do rio?,At that terrace café near the river?,河邊那家露天咖啡座？,河边那家露天咖啡座？,,,
Convívio,dialogo,10,B,Boa ideia. Às quatro?,Good idea. At four?,好主意。四點？,好主意。四点？,,,
Convívio,dialogo,11,A,Perfeito. Posso levar uma colega?,Perfect. Can I bring a colleague?,好。我能帶同事嗎？,好。我能带同事吗？,,,
Convívio,dialogo,12,B,"Claro! Quantos mais, melhor.",Sure! The more the merrier.,當然！人越多越好。,当然！人越多越好。,,,
Convívio,dialogo,13,A,"Se chegares atrasado, avisa.","If you're running late, let me know.",要遲到就說一聲。,要迟到就说一声。,,,
Convívio,dialogo,14,B,Prometo. E os cafés pago eu.,Promise. And the coffees are on me.,好。咖啡我請。,好。咖啡我请。,,,
Convívio,dialogo,15,A,Então a próxima é minha.,Then the next one's on me.,那下次我請。,那下次我请。,,,
Convívio,dialogo,16,B,Combinado. Até sábado!,Deal. See you Saturday!,說定了。週六見！,说定了。周六见！,,,
Convívio,cartao,1,,"Então, tudo bem?","So, how's it going?",最近好嗎？,最近好吗？,,,
Convívio,cartao,2,,Há quanto tempo!,Long time no see!,好久不見！,好久不见！,,,
Convívio,cartao,3,,Queres ir tomar um café?,Want to grab a coffee?,要去喝咖啡嗎？,要去喝咖啡吗？,,,
Convívio,cartao,4,,Estás livre no sábado?,Are you free on Saturday?,你週六有空嗎？,你周六有空吗？,,,
Convívio,cartao,5,,Apetece-te jantar fora?,Feel like eating out?,想出去吃晚餐嗎？,想出去吃晚餐吗？,,,
Convívio,cartao,6,,Onde nos encontramos?,Where shall we meet?,我們在哪見面？,我们在哪见面？,,,
Convívio,cartao,7,,A que horas combinamos?,What time shall we say?,約幾點？,约几点？,,,
Convívio,cartao,8,,Desculpa o atraso.,Sorry I'm late.,抱歉遲到了。,抱歉迟到了。,,,
Convívio,cartao,9,,"Tenho de desmarcar, desculpa.","I have to cancel, sorry.",抱歉，我得取消。,抱歉，我得取消。,,,
Convívio,cartao,10,,Fica para a próxima.,"Next time, then.",下次再約。,下次再约。,,,
Convívio,cartao,11,,Eu ofereço!,My treat!,我請客！,我请客！,,,
Convívio,cartao,12,,Vamos dividir a conta?,Shall we split the bill?,我們分攤吧？,我们分摊吧？,,,
Convívio,cartao,13,,Parabéns!,Happy birthday! / Congratulations!,恭喜！,恭喜！,,,
Convívio,cartao,14,,Saúde!,Cheers!,乾杯！,干杯！,,,
Convívio,cartao,15,,Diverti-me muito.,I had a great time.,我玩得很開心。,我玩得很开心。,,,
Convívio,cartao,16,,Até à próxima!,See you next time!,下次見！,下次见！,,,
Vizinhos,vocabulario,1,,o vizinho,neighbor,鄰居,邻居,O vizinho de cima é simpático.,樓上的鄰居人很好。,楼上的邻居人很好。
Vizinhos,vocabulario,2,,o prédio,building,大樓,大楼,O prédio tem seis andares.,這棟樓有六層。,这栋楼有六层。
Vizinhos,vocabulario,3,,o condomínio,building association / service charge,大樓管理,大楼管理,Pago o condomínio amanhã.,我明天繳管理費。,我明天缴管理费。
Vizinhos,vocabulario,4,,a reunião de condomínio,building meeting,業主大會,业主大会,A reunião é na quinta.,會議在週四。,会议在周四。
Vizinhos,vocabulario,5,,a quota,monthly share / fee,管理費,管理费,A quota subiu este ano.,管理費今年漲了。,管理费今年涨了。
Vizinhos,vocabulario,6,,o andar,floor,樓層,楼层,Moro no terceiro andar.,我住在三樓。,我住在三楼。
Vizinhos,vocabulario,7,,o elevador,elevator,電梯,电梯,Apanho sempre o elevador.,我總是搭電梯。,我总是坐电梯。
Vizinhos,vocabulario,8,,as escadas,stairs,樓梯,楼梯,Subi pelas escadas hoje.,我今天走樓梯上來。,我今天走楼梯上来。
Vizinhos,vocabulario,9,,o barulho,noise,噪音,噪音,O barulho acordou-me.,噪音把我吵醒了。,噪音把我吵醒了。
Vizinhos,vocabulario,10,,o silêncio,silence,安靜,安静,Gosto do silêncio aqui.,我喜歡這裡的安靜。,我喜欢这里的安静。
Vizinhos,vocabulario,11,,incomodar,to bother,打擾,打扰,Desculpe incomodar tão tarde.,抱歉這麼晚打擾。,抱歉这么晚打扰。
Vizinhos,vocabulario,12,,a queixa,complaint,投訴,投诉,Ninguém fez queixa.,沒有人投訴。,没有人投诉。
Vizinhos,vocabulario,13,,as obras,construction works,施工,施工,As obras acabam em maio.,工程五月完工。,工程五月完工。
Vizinhos,vocabulario,14,,o lixo,trash,垃圾,垃圾,Já pus o lixo fora.,我已經把垃圾拿出去了。,我已经把垃圾拿出去了。
Vizinhos,vocabulario,15,,a reciclagem,recycling,回收,回收,A reciclagem é ao fundo.,回收站在最裡面。,回收站在最里面。
Vizinhos,vocabulario,16,,o contentor,bin / container,垃圾箱,垃圾箱,O contentor está cheio.,垃圾箱滿了。,垃圾箱满了。
