source,id,portuguese,current_pos,current_gender,best_guess,reason
src/data/fragments/modules-04-06.json,az-0230,enviar uma carta,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0231,pagar a conta,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0235,renovar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0241,pessoalmente,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0246,poupar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0248,daqui,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0249,virar à direita,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0250,ir a pé,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0251,demorar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0252,saber,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0253,guiar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0254,atender,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0255,desligar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0256,esquecer-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0262,por,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0263,por + artigo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0265,ter de,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0266,precisar de,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0267,dever,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0269,abrir uma conta,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0288,fazer exercício,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0289,ter uma alimentação saudável,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0290,dentista,,,f,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0291,pediatra,,,f,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0292,médico(a) de família,,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0293,oftalmologista,,,f,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0294,medir a tensão,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0295,fazer uma radiografia,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0296,fazer análises,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0297,estar constipado(a),,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0298,ter febre,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0299,ter tosse,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0300,ter uma intoxicação,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0301,ser alérgico/a a,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0302,ser alérgica a,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0303,estar enjoado(a),,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0304,sentar-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0306,espirrar,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0307,sentir-se cansado(a),,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0308,sem forças,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0314,farmacêutico(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0316,há quanto tempo?,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0319,de oito em oito horas,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0326,aceder,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0327,legalmente,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0332,aviar uma receita,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0334,aliviar a dor,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0335,diminuir a febre,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0337,após as refeições,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0340,marcar uma consulta,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0341,doer,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0342,dói-me,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0343,doem-me,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0347,ter cuidado,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0348,consultar o médico,,,,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0349,tonto(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-04-06.json,az-0351,de 12 em 12 horas,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0352,servir à mesa,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0353,cozinheiro(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0356,preparar os alimentos,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0357,cozinhar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0358,pedreiro(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0361,cabeleireiro(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0365,lavar a cabeça,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0366,cortar o cabelo,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0367,pentear,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0368,empregado(a) de limpeza,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0372,limpar o pó,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0373,aspirar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0374,lavar o chão,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0375,agricultor(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0376,secretário(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0380,marcar uma reunião,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0381,médico(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0382,observar o doente,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0383,fazer exames,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0384,passar receitas,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0385,professor(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0387,ensinar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0396,carregar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0397,descarregar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0398,armazenar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0399,ontem,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0400,anteontem,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0401,há bocado,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0402,chegar a,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0403,sair de,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0404,entrar em,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0407,candidatar-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0416,adquirir a nacionalidade,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0418,empregado(a) doméstico(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0422,oferece-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0423,procuro trabalho,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0424,desempregado,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0426,responsável,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0427,pontual,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0436,desde,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0437,despedir-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0441,conhecer,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0442,conseguir,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0443,é proibido,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0444,é permitido,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0446,agora,,,f,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0447,antigamente,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0448,dantes,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0449,magro,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0451,barulhento,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0452,antigo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0453,movimentado,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0454,calmo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0455,moderno,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0456,poluído,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0457,pouco trânsito,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0458,muito trânsito,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0460,falar ao telemóvel,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0461,andar de carro,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0462,matricular,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0466,à procura de uma vida melhor,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0467,emigrar,,,,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0469,naquela época,,,f,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0470,naquele tempo,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0473,ótimo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-07-09.json,az-0474,péssimo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0475,recente,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0476,há um mês,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0477,há dois dias,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0478,ultimamente,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0479,no mês passado,,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0480,a pé,,,expr,known expression
src/data/fragments/modules-10-12.json,az-0481,de carro,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0482,navegar na net,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0483,cedo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0484,tarde,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0485,perder o emprego,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0486,procurar emprego,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0487,estar ocupado(a),,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0488,tirar férias,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0489,descansar,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0491,sentir-se bem,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0494,depender de,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0498,sentir falta de,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0502,até agora,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0503,desde que,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0510,Ex.mo Senhor,,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0514,dar notícias,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0515,diretor(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0526,exigir,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0530,recorrer,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0533,reclamar,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0537,tradutor(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0538,ser contactado(a),,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0546,residente,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0547,queixar-se de,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0550,grave,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0552,assaltar,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0553,alguém,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0554,ninguém,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0555,tudo,,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0556,nada,,,f,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0557,vários,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0558,várias,,,plural?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0563,imigrante,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0569,confidencial,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0570,gratuito(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0572,proteger,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0576,adquirir,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0579,preencher,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0580,tratar de,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0586,residir,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0588,voluntário(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0589,votar,,,,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0593,fixar-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0596,informar-se,,,m/f?,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0598,empregador(a),,,m,no confident noun-gender rule matched
src/data/fragments/modules-10-12.json,az-0600,legalizar,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0601,abrir uma conta à ordem,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0607,levantar dinheiro,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0608,depositar dinheiro,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0616,pedir o NIF,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0621,tirar a senha,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0624,atualizar a morada,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0629,levantar uma encomenda,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0634,enviar para o estrangeiro,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0640,recenseado na freguesia,,,m,no confident noun-gender rule matched
src/data/situacoes.ts,az-0646,pagar uma taxa,,,,no confident noun-gender rule matched
src/data/situacoes.ts,az-0648,inscrever-se no centro de saúde,,,m/f?,no confident noun-gender rule matched
